project_cd,if_vrsn_id,plant_cd,res_cd,res_nm,res_seq,res_type_cd,res_ctgi_cd,res_grp_cd,res_capa_val,over_capa_val,capa_unit_cd,start_yymmdd,end_yymmdd,descr,inf_capa_yn,use_yn,del_yn
ENT_001,-,K120,10003935_F001,10003935_F001,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_F002,10003935_F002,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_F003,10003935_F003,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_F004,10003935_F004,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_F005,10003935_F005,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_F006,10003935_F006,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_F007,10003935_F007,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_F008,10003935_F008,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_F009,10003935_F009,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_F010,10003935_F010,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_M001,10003935_M001,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_M002,10003935_M002,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_M003,10003935_M003,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_M004,10003935_M004,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_M005,10003935_M005,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_M006,10003935_M006,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_M007,10003935_M007,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_M008,10003935_M008,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_M009,10003935_M009,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003935_M010,10003935_M010,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003936_F001,10003936_F001,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003936_F002,10003936_F002,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003936_F003,10003936_F003,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003936_F004,10003936_F004,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003936_F005,10003936_F005,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003936_F006,10003936_F006,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003936_F007,10003936_F007,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
ENT_001,-,K120,10003936_F008,10003936_F008,4,PPL,,2217,1,0,MIN,20010101,99991231,,N,Y,N
