res_grp_cd,res_grp_nm,res_cd,res_nm,item_cd,item_nm,yymmdd,type,qty
UNDEFINED,UNDEFINED,5142931,UNDEFINED,5141600,Ä«½ºÅ¸µå 690g (ET),2022-04-18,D,9999999.0
UNDEFINED,UNDEFINED,5142931,UNDEFINED,5141600,Ä«½ºÅ¸µå 690g (ET),2022-04-18,N,0.0
UNDEFINED,UNDEFINED,5142932,UNDEFINED,5142931,²¿±òÄÜ 4¹øµé 160g,2022-04-18,D,0.0
UNDEFINED,UNDEFINED,5142932,UNDEFINED,5142931,²¿±òÄÜ 4¹øµé 160g,2022-04-18,N,0.0
UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,5141600,Ä«½ºÅ¸µå 690g (ET),2022-04-18,D,9999999.0
UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,5141600,Ä«½ºÅ¸µå 690g (ET),2022-04-18,N,0.0
UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,5142931,²¿±òÄÜ 4¹øµé 160g,2022-04-18,D,20.0
UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,5142931,²¿±òÄÜ 4¹øµé 160g,2022-04-18,N,0.0
UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,5142932,²¿±òÄ¡Åä 4¹øµé 188g,2022-04-18,D,12.5
UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,5142932,²¿±òÄ¡Åä 4¹øµé 188g,2022-04-18,N,0.0
UNDEFINED,UNDEFINED,start|FP_28,UNDEFINED,5142932,²¿±òÄ¡Åä 4¹øµé 188g,2022-04-18,D,0.0
UNDEFINED,UNDEFINED,start|FP_28,UNDEFINED,5142932,²¿±òÄ¡Åä 4¹øµé 188g,2022-04-18,N,0.0
