dmd_id,item_cd,res_grp,resource,start,end
FP_1,5127761,3204,10001520,2022-04-18 20:48:20,2022-04-19 00:46:20
FP_10,5107671,3203,10001339,2022-04-18 07:00:00,2022-04-19 01:45:00
FP_100,5140808,3102,10003128,2022-04-19 23:53:20,2022-04-20 02:07:20
FP_102,5142933,3101,10003106,2022-04-19 20:40:00,2022-04-20 05:19:45
FP_104,5140022,3204,10001520,2022-04-20 10:22:55,2022-04-21 03:47:33
FP_105,5140770,3107,10006506,2022-04-18 09:30:58,2022-04-19 06:51:30
FP_108,5142959,3108,10003168,2022-04-18 20:18:48,2022-04-18 21:23:48
FP_11,5142934,3108,10003168,2022-04-20 00:40:00,2022-04-20 04:25:00
FP_110,5142936,3101,10003107,2022-04-18 14:46:40,2022-04-19 19:21:44
FP_112,5140896,3204,10001520,2022-04-21 06:22:50,2022-04-22 14:35:18
FP_114,5142939,3108,10003168,2022-04-18 21:23:48,2022-04-19 04:39:24
FP_115,5142724,X247,X247,2022-04-19 08:23:06,2022-04-19 17:25:54
FP_116,5142590,3204,10001520,2022-04-21 06:12:55,2022-04-21 06:22:50
FP_117,5140801,3107,10006506,2022-04-18 07:00:00,2022-04-18 08:49:10
FP_12,5124830,3202,10001450,2022-04-18 07:00:00,2022-04-19 00:46:40
FP_121,5142482,3107,10006506,2022-04-19 07:04:20,2022-04-19 09:45:40
FP_122,5108373,X247,X247,2022-04-19 03:00:00,2022-04-19 07:20:42
FP_124,5108185,3107,10006506,2022-04-19 09:45:40,2022-04-19 15:06:28
FP_125,5140805,3102,10003128,2022-04-20 02:07:20,2022-04-20 02:58:45
FP_128,5142815,3102,10003128,2022-04-20 02:58:45,2022-04-20 03:51:03
FP_129,5142483,3107,10006506,2022-04-19 06:51:30,2022-04-19 07:04:20
FP_13,5140895,3204,10001520,2022-04-18 09:08:20,2022-04-20 01:11:40
FP_131,5142931,X267,X267,2022-04-20 08:56:40,2022-04-21 05:02:24
FP_133,5142959,3101,10003108,2022-04-18 11:10:00,2022-04-18 12:15:00
FP_134,5142960,3108,10003168,2022-04-19 23:07:00,2022-04-19 23:48:36
FP_136,5142933,3108,10003168,2022-04-20 07:55:15,2022-04-20 22:21:30
FP_137,5142935,3101,10003108,2022-04-18 22:02:31,2022-04-19 16:30:07
FP_138,5142940,3108,10003168,2022-04-18 15:20:00,2022-04-18 20:18:48
FP_139,5140787,3104,10003224,2022-04-19 06:36:40,2022-04-19 06:44:02
FP_14,5100334,3205,10001574,2022-04-19 16:03:20,2022-04-20 07:36:40
FP_142,5142957,3101,10003107,2022-04-20 13:19:40,2022-04-20 15:05:45
FP_144,5142958,3108,10003168,2022-04-20 05:23:20,2022-04-20 07:55:15
FP_145,5142940,3101,10003107,2022-04-19 21:33:28,2022-04-20 13:19:40
FP_148,5141184,X247,X247,2022-04-19 07:20:42,2022-04-19 08:23:06
FP_149,5142939,3101,10003108,2022-04-18 14:46:55,2022-04-18 22:02:31
FP_15,5140805,3102,10003128,2022-04-18 10:20:00,2022-04-18 12:00:00
FP_150,5142958,3101,10003108,2022-04-18 12:15:00,2022-04-18 14:46:55
FP_153,5142932,X218,X218,2022-04-18 07:00:00,2022-04-20 03:26:40
FP_154,5141183,X247,X247,2022-04-19 17:25:54,2022-04-19 17:49:31
FP_18,5124851,3202,10001450,2022-04-18 07:00:00,2022-04-19 06:20:00
FP_21,5142653,3205,10001574,2022-04-18 07:00:00,2022-04-19 16:03:20
FP_22,5128601,3204,10001520,2022-04-18 07:00:00,2022-04-18 09:08:20
FP_23,5142937,3101,10003106,2022-04-18 23:50:00,2022-04-19 20:40:00
FP_24,5140783,3104,10003224,2022-04-18 18:48:20,2022-04-19 06:36:40
FP_25,5142934,3101,10003106,2022-04-18 20:05:00,2022-04-18 23:50:00
FP_26,5140896,3204,10001520,2022-04-20 01:11:40,2022-04-21 01:41:40
FP_27,5140312,X247,X247,2022-04-18 07:00:00,2022-04-18 19:13:20
FP_28,5140806,3102,10006437,2022-04-18 12:00:00,2022-04-19 23:53:20
FP_29,5140803,3102,10006436,2022-04-18 07:00:00,2022-04-19 11:20:00
FP_3,5142933,3101,10003106,2022-04-18 07:00:00,2022-04-18 19:30:00
FP_30,5140022,3204,10001520,2022-04-18 07:00:00,2022-04-18 19:15:00
FP_31,5142938,3108,10003168,2022-04-20 04:25:00,2022-04-20 05:23:20
FP_32,5142935,3101,10003108,2022-04-18 07:00:00,2022-04-18 11:10:00
FP_33,5142938,3101,10003106,2022-04-18 19:30:00,2022-04-18 20:05:00
FP_36,5142939,3101,10003107,2022-04-18 07:00:00,2022-04-18 09:30:00
FP_37,5142816,3102,10003128,2022-04-18 07:00:00,2022-04-18 10:20:00
FP_38,5140785,3104,10003224,2022-04-18 07:00:00,2022-04-18 18:48:20
FP_39,5142940,3108,10003168,2022-04-18 13:40:00,2022-04-18 15:20:00
FP_4,5124786,3105,10000723,2022-04-18 07:00:00,2022-04-18 19:13:20
FP_40,5142933,3108,10003168,2022-04-18 07:00:00,2022-04-19 03:50:00
FP_41,5142939,3108,10003168,2022-04-18 07:00:00,2022-04-18 09:30:00
FP_44,5140735,X267,X267,2022-04-18 07:00:00,2022-04-18 16:10:00
FP_45,5142935,3108,10003168,2022-04-18 09:30:00,2022-04-18 13:40:00
FP_46,5142937,3108,10003168,2022-04-19 03:50:00,2022-04-20 00:40:00
FP_48,5142940,3101,10003107,2022-04-18 09:30:00,2022-04-18 14:46:40
FP_49,5142724,X247,X247,2022-04-18 19:13:20,2022-04-19 03:00:00
FP_5,5128589,3204,10001520,2022-04-18 19:15:00,2022-04-18 20:48:20
FP_51,5142932,X267,X267,2022-04-19 06:16:40,2022-04-20 08:56:40
FP_53,5142931,X267,X267,2022-04-18 16:10:00,2022-04-19 06:16:40
FP_55,5140686,3105,10000723,2022-04-21 18:01:54,2022-04-21 19:31:00
FP_56,5124414,3105,10000723,2022-04-21 19:31:00,2022-04-21 21:20:49
FP_57,5124787,3105,10000723,2022-04-19 13:33:20,2022-04-20 00:20:30
FP_58,5101329,3203,10001339,2022-04-18 07:26:51,2022-04-18 10:41:51
FP_59,5125825,3105,10000723,2022-04-20 23:18:04,2022-04-21 01:11:11
FP_6,5129867,3105,10000723,2022-04-18 22:16:40,2022-04-19 13:33:20
FP_60,5140026,3204,10001520,2022-04-23 10:26:14,2022-04-23 13:20:39
FP_61,5142178,3204,10001520,2022-04-21 06:28:26,2022-04-21 07:28:03
FP_62,5124786,3105,10000723,2022-04-20 12:37:30,2022-04-20 22:59:44
FP_63,5142900,3105,10000723,2022-04-20 00:20:30,2022-04-20 00:59:33
