dmd_id,item_cd,res_grp_cd,res_cd,kind,start,end
FP_0000007,5100334,3205,10006268,demand,2022-04-26 23:03:20,2022-04-27 00:00:00
FP_0000007,5100334,3205,10006268,demand,2022-04-27 07:00:00,2022-04-27 21:36:40
FP_0000010,5101327,3203,10001360,demand,2022-04-26 08:45:00,2022-04-26 19:45:00
FP_0000011,5101329,3203,10001369,demand,2022-04-25 07:26:51,2022-04-25 10:41:51
FP_0000025,5105464,3203,10001360,demand,2022-04-26 19:45:00,2022-04-26 21:50:33
FP_0000058,5107372,3204,10004538,demand,2022-04-26 23:54:40,2022-04-27 00:00:00
FP_0000058,5107372,3204,10004538,demand,2022-04-27 07:00:00,2022-04-27 12:52:22
FP_0000059,5107372,3204,10004538,demand,2022-04-29 17:25:45,2022-04-29 18:32:01
FP_0000066,5107671,3203,10001360,demand,2022-04-26 07:00:00,2022-04-26 08:45:00
FP_0000066,5107671,3203,10001360,demand,2022-04-25 07:00:00,2022-04-26 00:00:00
FP_0000074,5108185,3107,10006506,demand,2022-04-25 07:54:38,2022-04-25 13:15:26
FP_0000079,5108373,X247,X247,demand,2022-04-28 10:28:49,2022-04-28 14:49:31
FP_0000161,5124414,3105,10000798,demand,2022-05-02 11:56:59,2022-05-02 13:46:48
FP_0000167,5124651,3107,10006506,demand,2022-04-25 07:00:00,2022-04-25 07:41:48
FP_0000180,5124786,3105,10000798,demand,2022-04-26 07:00:00,2022-04-26 18:30:00
FP_0000180,5124786,3105,10000798,demand,2022-04-25 22:16:40,2022-04-25 23:00:00
FP_0000181,5124786,3105,10000798,demand,2022-04-27 07:00:00,2022-04-27 16:39:53
FP_0000181,5124786,3105,10000798,demand,2022-04-26 23:17:39,2022-04-27 00:00:00
FP_0000182,5124786,3105,10000798,demand,2022-05-02 21:53:00,2022-05-02 23:00:00
FP_0000182,5124786,3105,10000798,demand,2022-05-03 07:00:00,2022-05-03 10:59:54
FP_0000183,5124787,3105,10000798,demand,2022-04-27 16:39:53,2022-04-28 00:00:00
FP_0000183,5124787,3105,10000798,demand,2022-04-28 07:00:00,2022-04-28 10:27:03
FP_0000184,5124787,3105,10000798,demand,2022-05-02 17:33:35,2022-05-02 20:25:33
FP_0000186,5124830,3202,10001463,demand,2022-04-25 07:00:00,2022-04-26 00:00:00
FP_0000186,5124830,3202,10001463,demand,2022-04-26 07:00:00,2022-04-26 07:46:40
FP_0000187,5124851,3202,10001469,demand,2022-04-26 07:00:00,2022-04-26 13:20:00
FP_0000187,5124851,3202,10001469,demand,2022-04-25 07:00:00,2022-04-26 00:00:00
FP_0000188,5124851,3202,10001469,demand,2022-04-26 13:20:00,2022-04-26 13:34:42
FP_0000214,5125825,3105,10000798,demand,2022-05-02 09:24:49,2022-05-02 11:17:56
FP_0000253,5127761,3204,10004538,demand,2022-04-25 23:08:20,2022-04-26 00:00:00
FP_0000253,5127761,3204,10004538,demand,2022-04-26 07:00:00,2022-04-26 10:06:20
FP_0000268,5128589,3204,10004538,demand,2022-04-26 10:06:20,2022-04-26 11:39:40
FP_0000269,5128601,3204,10001542,demand,2022-04-28 20:33:20,2022-04-28 22:41:40
FP_0000305,5129867,3105,10000798,demand,2022-04-25 07:00:00,2022-04-25 22:16:40
FP_0000306,5129867,3105,10000798,demand,2022-04-28 23:34:06,2022-04-29 00:00:00
FP_0000306,5129867,3105,10000798,demand,2022-05-02 07:00:00,2022-05-02 09:24:49
FP_0000306,5129867,3105,10000798,demand,2022-04-29 07:00:00,2022-04-29 21:00:00
FP_0000307,5129867,3105,10000798,demand,2022-05-02 13:46:48,2022-05-02 17:33:35
FP_0000308,5129868,3105,10000798,demand,2022-04-26 18:30:00,2022-04-26 21:33:20
FP_0000309,5129868,3105,10000798,demand,2022-04-28 10:27:03,2022-04-28 22:05:00
FP_0000310,5129868,3105,10000798,demand,2022-05-02 20:25:33,2022-05-02 21:53:00
FP_0000341,5139979,3204,10004538,demand,2022-04-25 07:00:00,2022-04-25 23:08:20
FP_0000342,5139979,3204,10004538,demand,2022-04-28 15:57:53,2022-04-29 00:00:00
FP_0000342,5139979,3204,10004538,demand,2022-04-29 07:00:00,2022-04-29 16:07:14
FP_0000343,5139979,3204,10004538,demand,2022-05-02 07:00:00,2022-05-02 10:17:57
FP_0000343,5139979,3204,10004538,demand,2022-04-29 18:32:01,2022-04-30 00:00:00
FP_0000344,5140022,3204,10004538,demand,2022-04-26 11:39:40,2022-04-26 23:54:40
FP_0000345,5140022,3204,10004538,demand,2022-04-27 13:49:46,2022-04-28 00:00:00
FP_0000345,5140022,3204,10004538,demand,2022-04-28 07:00:00,2022-04-28 14:14:24
FP_0000346,5140022,3204,10004538,demand,2022-05-02 10:17:57,2022-05-02 16:11:13
FP_0000347,5140025,3204,10001542,demand,2022-05-03 23:54:59,2022-05-04 00:00:00
FP_0000347,5140025,3204,10001542,demand,2022-05-04 07:00:00,2022-05-04 11:26:14
FP_0000348,5140025,3204,10001542,demand,2022-05-05 12:13:30,2022-05-05 13:18:22
FP_0000349,5140026,3204,10001542,demand,2022-05-04 11:26:14,2022-05-04 14:20:39
FP_0000350,5140026,3204,10001542,demand,2022-05-05 11:40:29,2022-05-05 12:13:30
FP_0000351,5140082,3205,10006268,demand,2022-05-03 08:28:46,2022-05-03 09:19:24
FP_0000357,5140312,X247,X247,demand,2022-04-27 07:00:00,2022-04-27 09:00:00
FP_0000357,5140312,X247,X247,demand,2022-04-26 07:00:00,2022-04-26 16:00:00
FP_0000357,5140312,X247,X247,demand,2022-04-25 14:46:40,2022-04-25 16:00:00
FP_0000358,5140532,3204,10004538,demand,2022-04-28 14:44:16,2022-04-28 15:57:53
FP_0000363,5140686,3105,10000798,demand,2022-04-28 22:05:00,2022-04-28 23:34:06
FP_0000367,5140735,X267,X267,demand,2022-04-28 07:00:00,2022-04-28 15:50:00
FP_0000367,5140735,X267,X267,demand,2022-04-27 15:40:00,2022-04-27 16:00:00
FP_0000373,5140770,3107,10006506,demand,2022-04-25 23:38:56,2022-04-26 00:00:00
FP_0000373,5140770,3107,10006506,demand,2022-04-26 07:00:00,2022-04-27 00:00:00
FP_0000373,5140770,3107,10006506,demand,2022-04-27 07:00:00,2022-04-27 10:59:28
FP_0000377,5140783,3104,10005847,demand,2022-04-25 18:48:20,2022-04-25 22:00:00
FP_0000377,5140783,3104,10005847,demand,2022-04-26 07:00:00,2022-04-26 15:36:40
FP_0000379,5140785,3104,10005847,demand,2022-04-25 07:00:00,2022-04-25 18:48:20
FP_0000381,5140787,3104,10005847,demand,2022-04-26 15:36:40,2022-04-26 15:44:02
FP_0000382,5140801,3107,10006506,demand,2022-04-25 21:49:46,2022-04-25 23:38:56
FP_0000383,5140803,3102,10006436,demand,2022-04-25 08:40:00,2022-04-26 00:00:00
FP_0000383,5140803,3102,10006436,demand,2022-04-26 07:00:00,2022-04-26 20:00:00
FP_0000384,5140805,3102,10006437,demand,2022-04-25 07:00:00,2022-04-25 08:40:00
FP_0000385,5140805,3102,10006437,demand,2022-04-29 08:13:20,2022-04-29 09:04:45
FP_0000386,5140806,3102,10006436,demand,2022-04-26 20:00:00,2022-04-27 00:00:00
FP_0000386,5140806,3102,10006436,demand,2022-04-27 07:00:00,2022-04-28 00:00:00
FP_0000386,5140806,3102,10006436,demand,2022-04-28 07:00:00,2022-04-28 21:53:20
FP_0000387,5140808,3102,10006437,demand,2022-04-29 09:04:45,2022-04-29 11:18:45
FP_0000392,5140895,3204,10001542,demand,2022-04-28 07:00:00,2022-04-28 20:33:20
FP_0000392,5140895,3204,10001542,demand,2022-04-27 07:00:00,2022-04-28 00:00:00
FP_0000392,5140895,3204,10001542,demand,2022-04-26 14:30:00,2022-04-27 00:00:00
FP_0000393,5140895,3204,10001542,demand,2022-05-03 07:00:00,2022-05-03 23:54:59
FP_0000393,5140895,3204,10001542,demand,2022-05-02 21:04:03,2022-05-03 00:00:00
FP_0000394,5140895,3204,10001542,demand,2022-05-04 19:41:29,2022-05-05 00:00:00
FP_0000394,5140895,3204,10001542,demand,2022-05-05 07:00:00,2022-05-05 11:40:29
FP_0000396,5140896,3204,10001542,demand,2022-04-25 07:00:00,2022-04-26 00:00:00
FP_0000396,5140896,3204,10001542,demand,2022-04-26 07:00:00,2022-04-26 14:30:00
FP_0000397,5140896,3204,10001542,demand,2022-04-28 22:41:40,2022-04-29 00:00:00
FP_0000397,5140896,3204,10001542,demand,2022-04-29 07:00:00,2022-04-30 00:00:00
FP_0000397,5140896,3204,10001542,demand,2022-05-02 07:00:00,2022-05-02 20:54:08
FP_0000398,5140896,3204,10001542,demand,2022-05-04 14:20:39,2022-05-04 19:41:29
FP_0000427,5141183,X247,X247,demand,2022-04-27 10:02:24,2022-04-27 10:26:01
FP_0000428,5141184,X247,X247,demand,2022-04-27 09:00:00,2022-04-27 10:02:24
FP_0000443,5141313,3105,10000798,demand,2022-04-26 21:33:20,2022-04-26 22:59:19
FP_0000449,5141447,3204,10004538,demand,2022-04-27 12:52:22,2022-04-27 13:30:52
FP_0000497,5141760,3203,10001369,demand,2022-04-25 07:00:00,2022-04-25 07:26:51
FP_0000531,5142178,3204,10004538,demand,2022-04-29 16:26:08,2022-04-29 17:25:45
FP_0000532,5142182,3105,10000798,demand,2022-04-26 22:59:19,2022-04-26 23:17:39
FP_0000548,5142248,3204,10004538,demand,2022-04-29 16:07:14,2022-04-29 16:26:08
FP_0000549,5142249,3204,10004538,demand,2022-04-27 13:30:52,2022-04-27 13:49:46
FP_0000587,5142482,3107,10006506,demand,2022-04-25 19:08:26,2022-04-25 21:49:46
FP_0000588,5142483,3107,10006506,demand,2022-04-25 07:41:48,2022-04-25 07:54:38
FP_0000589,5142484,3107,10006506,demand,2022-04-25 13:15:26,2022-04-25 19:08:26
FP_0000610,5142584,3204,10004538,demand,2022-04-28 14:14:24,2022-04-28 14:44:16
FP_0000615,5142590,3204,10001542,demand,2022-05-02 20:54:08,2022-05-02 21:04:03
FP_0000632,5142653,3205,10006268,demand,2022-04-26 07:00:00,2022-04-26 23:03:20
FP_0000632,5142653,3205,10006268,demand,2022-04-25 07:00:00,2022-04-26 00:00:00
FP_0000633,5142653,3205,10006268,demand,2022-04-29 07:00:00,2022-04-30 00:00:00
FP_0000633,5142653,3205,10006268,demand,2022-04-28 07:00:00,2022-04-29 00:00:00
FP_0000633,5142653,3205,10006268,demand,2022-05-03 07:00:00,2022-05-03 08:28:46
FP_0000633,5142653,3205,10006268,demand,2022-04-27 21:36:40,2022-04-28 00:00:00
FP_0000633,5142653,3205,10006268,demand,2022-05-02 07:00:00,2022-05-03 00:00:00
FP_0000634,5142653,3205,10006268,demand,2022-05-03 09:19:24,2022-05-04 00:00:00
FP_0000634,5142653,3205,10006268,demand,2022-05-04 07:00:00,2022-05-04 08:06:44
FP_0000659,5142724,X247,X247,demand,2022-04-25 07:00:00,2022-04-25 14:46:40
FP_0000660,5142724,X247,X247,demand,2022-04-27 10:26:01,2022-04-27 16:00:00
FP_0000660,5142724,X247,X247,demand,2022-04-28 07:00:00,2022-04-28 10:28:49
FP_0000677,5142815,3102,10006437,demand,2022-04-29 11:18:45,2022-04-29 12:11:03
FP_0000678,5142816,3102,10006437,demand,2022-04-28 21:53:20,2022-04-29 00:00:00
FP_0000678,5142816,3102,10006437,demand,2022-04-29 07:00:00,2022-04-29 08:13:20
FP_0000726,5142900,3105,10000798,demand,2022-05-02 11:17:56,2022-05-02 11:56:59
FP_0000732,5142931,X267,X267,demand,2022-04-28 15:50:00,2022-04-28 16:00:00
FP_0000732,5142931,X267,X267,demand,2022-04-29 07:00:00,2022-04-29 16:00:00
FP_0000732,5142931,X267,X267,demand,2022-05-02 07:00:00,2022-05-02 11:56:40
FP_0000733,5142931,X267,X267,demand,2022-05-02 11:56:40,2022-05-02 16:00:00
FP_0000733,5142931,X267,X267,demand,2022-05-03 07:00:00,2022-05-03 16:00:00
