res_grp_cd,res_grp_nm,res_cd,res_nm,item_cd,item_nm,yymmdd,type,qty
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5124414,중국 청도법인 말랑카우 밀크 63g,2022-04-21,D,0.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5124414,중국 청도법인 말랑카우 밀크 63g,2022-04-21,N,599.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5124786,말랑카우 밀크 8봉 158g,2022-04-18,D,1636.36
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5124786,말랑카우 밀크 8봉 158g,2022-04-18,N,2363.64
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5124786,말랑카우 밀크 8봉 158g,2022-04-20,D,0.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5124786,말랑카우 밀크 8봉 158g,2022-04-20,N,3394.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5124787,말랑카우 딸기 8봉 158g,2022-04-19,D,0.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5124787,말랑카우 딸기 8봉 158g,2022-04-19,N,3418.18
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5124787,말랑카우 딸기 8봉 158g,2022-04-20,D,111.82
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5124787,말랑카우 딸기 8봉 158g,2022-04-20,N,0.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5125825,중국 청도법인 말랑카우 딸기 63g,2022-04-20,D,0.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5125825,중국 청도법인 말랑카우 딸기 63g,2022-04-20,N,228.73
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5125825,중국 청도법인 말랑카우 딸기 63g,2022-04-21,D,388.27
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5125825,중국 청도법인 말랑카우 딸기 63g,2022-04-21,N,0.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5129867,말랑카우 밀크 79g (LS),2022-04-18,D,0.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5129867,말랑카우 밀크 79g (LS),2022-04-18,N,563.64
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5129867,말랑카우 밀크 79g (LS),2022-04-19,D,3927.27
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5129867,말랑카우 밀크 79g (LS),2022-04-19,N,509.09
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5129867,말랑카우 밀크 79g (LS),2022-04-21,D,3539.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5129867,말랑카우 밀크 79g (LS),2022-04-21,N,1974.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5129868,말랑카우 딸기 79g (LS),2022-04-18,D,0.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5129868,말랑카우 딸기 79g (LS),2022-04-18,N,1000.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5129868,말랑카우 딸기 79g (LS),2022-04-20,D,3602.45
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5129868,말랑카우 딸기 79g (LS),2022-04-20,N,204.55
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5140686,일본 ISI 말랑카우 밀크 63g,2022-04-21,D,0.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5140686,일본 ISI 말랑카우 밀크 63g,2022-04-21,N,486.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5141313,일본 말랑카우 딸기 63g,2022-04-21,D,0.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5141313,일본 말랑카우 딸기 63g,2022-04-21,N,469.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5142182,할로윈 말랑카우 딸기 158g,2022-04-20,D,0.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5142182,할로윈 말랑카우 딸기 158g,2022-04-20,N,100.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5142900,메가톤 먹은 말랑카우 79g (E24),2022-04-20,D,213.0
3105,평캔C-1,10000723,평택_캔디_C-1^H-PILLOW 포장기 1호,5142900,메가톤 먹은 말랑카우 79g (E24),2022-04-20,N,0.0
