res_grp_cd,res_grp_nm,res_cd,res_nm,item_cd,item_nm,yymmdd,time_index_type,prod_qty
2103,양비HARD-2,10001107,양산_비스켓_H/L-2^SET UP 포장기 #1,5142865,빠다코코낫 벌크 300g(N),2022-04-25,D,1384.62
2103,양비HARD-2,10001107,양산_비스켓_H/L-2^SET UP 포장기 #1,5142865,빠다코코낫 벌크 300g(N),2022-04-25,N,3323.07
2103,양비HARD-2,10001107,양산_비스켓_H/L-2^SET UP 포장기 #1,5142865,빠다코코낫 벌크 300g(N),2022-04-26,D,1384.62
2103,양비HARD-2,10001107,양산_비스켓_H/L-2^SET UP 포장기 #1,5142865,빠다코코낫 벌크 300g(N),2022-04-26,N,3323.08
2103,양비HARD-2,10001107,양산_비스켓_H/L-2^SET UP 포장기 #1,5142865,빠다코코낫 벌크 300g(N),2022-04-27,D,614.62
2103,양비HARD-2,10001107,양산_비스켓_H/L-2^SET UP 포장기 #1,5142865,빠다코코낫 벌크 300g(N),2022-04-27,N,0.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5126468,빠다코코낫 골라담기 78g,2022-04-25,D,2250.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5126468,빠다코코낫 골라담기 78g,2022-04-25,N,5400.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5126468,빠다코코낫 골라담기 78g,2022-04-26,D,2250.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5126468,빠다코코낫 골라담기 78g,2022-04-26,N,5400.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5126468,빠다코코낫 골라담기 78g,2022-04-27,D,1200.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5126468,빠다코코낫 골라담기 78g,2022-04-27,N,0.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5140989,빠다코코낫 단품 100g px,2022-04-27,D,600.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5140989,빠다코코낫 단품 100g px,2022-04-27,N,0.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5142864,빠다코코낫 단품 100g(N),2022-04-27,D,240.0
2103,양비HARD-2,10001108,양산_비스켓_H/L-2^SET UP 포장기 #2,5142864,빠다코코낫 단품 100g(N),2022-04-27,N,4320.0
