dmd_id,item_cd,res_grp_cd,res_cd,kind,start,end
FP_0000001,5100182,X102,X102,demand,2022-05-02 16:00:00,2022-05-03 17:00:00
FP_0000002,5100183,X102,X102,demand,2022-05-03 17:00:00,2022-05-04 01:03:20
FP_0000021,5106237,1108,10008899,demand,2022-05-02 05:44:20,2022-05-02 10:21:00
FP_0000022,5106237,1108,10008899,demand,2022-05-03 04:42:40,2022-05-03 04:46:00
FP_0000031,5107266,1207,10008980,demand,2022-05-02 08:20:00,2022-05-03 05:40:00
FP_0000031_FP_0000035,5107270,1207,10008980,job_change,2022-05-03 05:40:00,2022-05-03 06:20:00
FP_0000032,5107266,1207,10008980,demand,2022-05-03 11:40:00,2022-05-04 19:40:00
FP_0000033,5107266,1207,10008980,demand,2022-05-04 19:40:00,2022-05-05 16:01:20
FP_0000033_FP_0000036,5107270,1207,10008980,job_change,2022-05-05 16:01:20,2022-05-05 16:41:20
FP_0000034,5107270,1207,10008980,demand,2022-05-02 03:00:00,2022-05-02 08:20:00
FP_0000035,5107270,1207,10008980,demand,2022-05-03 06:20:00,2022-05-03 11:40:00
FP_0000036,5107270,1207,10008980,demand,2022-05-05 16:41:20,2022-05-06 03:48:00
FP_0000050,5108126,1108,10008899,demand,2022-05-02 04:54:20,2022-05-02 05:44:20
FP_0000051,5108126,1108,10008899,demand,2022-05-03 03:56:00,2022-05-03 04:11:00
FP_0000059,5108820,1324,10002266,demand,2022-05-03 14:44:50,2022-05-04 01:40:20
FP_0000060,5108820,1324,10002266,demand,2022-05-10 02:02:40,2022-05-10 06:05:40
FP_0000060_FP_0000062,5108821,1324,10002266,job_change,2022-05-10 06:05:40,2022-05-10 10:05:40
FP_0000061,5108821,1324,10002266,demand,2022-05-09 07:44:40,2022-05-09 19:56:40
FP_0000061_FP_0000354,5142026,1324,10002266,job_change,2022-05-09 19:56:40,2022-05-09 23:56:40
FP_0000062,5108821,1324,10002266,demand,2022-05-10 10:05:40,2022-05-10 13:05:40
FP_0000062_FP_0000355,5142026,1324,10002266,job_change,2022-05-10 13:05:40,2022-05-10 17:05:40
FP_0000063,5108853,1324,10002266,demand,2022-05-04 01:40:20,2022-05-05 17:55:20
FP_0000063_FP_0000065,5108862,1324,10002266,job_change,2022-05-05 17:55:20,2022-05-06 05:55:20
FP_0000064,5108862,1324,10002266,demand,2022-05-02 03:30:00,2022-05-03 01:43:20
FP_0000064_FP_0000106,5124525,1324,10002266,job_change,2022-05-03 01:43:20,2022-05-03 09:43:20
FP_0000065,5108862,1324,10002266,demand,2022-05-06 05:55:20,2022-05-06 17:47:00
FP_0000066,5108873,1108,10008899,demand,2022-05-02 04:26:00,2022-05-02 04:54:20
FP_0000067,5108874,1108,10008899,demand,2022-05-02 10:21:00,2022-05-02 14:19:20
FP_0000068,5108874,1108,10008899,demand,2022-05-03 01:26:00,2022-05-03 02:09:20
FP_0000069,5108875,1108,10008899,demand,2022-05-02 15:34:20,2022-05-02 17:01:00
FP_0000070,5108877,1108,10008899,demand,2022-05-03 00:02:40,2022-05-03 01:26:00
FP_0000071,5108880,1108,10007537,demand,2022-05-02 04:00:00,2022-05-03 15:06:00
FP_0000072,5108880,1108,10007537,demand,2022-05-03 15:06:00,2022-05-05 02:12:00
FP_0000073,5108886,X101,X101,demand,2022-05-03 04:00:00,2022-05-04 00:00:00
FP_0000074,5108886,X101,X101,demand,2022-05-09 12:20:00,2022-05-10 08:20:00
FP_0000079,5108899,X101,X101,demand,2022-05-02 04:00:00,2022-05-03 04:00:00
FP_0000080,5108899,X101,X101,demand,2022-05-10 14:20:00,2022-05-11 14:20:00
FP_0000081,5109045,X101,X101,demand,2022-05-04 19:20:00,2022-05-05 15:20:00
FP_0000082,5109045,X101,X101,demand,2022-05-06 05:40:00,2022-05-06 20:00:00
FP_0000082,5109045,X101,X101,demand,2022-05-09 04:00:00,2022-05-09 09:40:00
FP_0000090,5109793,1206,10009247,demand,2022-05-03 06:20:00,2022-05-03 11:20:00
FP_0000095,5124160,1108,10008899,demand,2022-05-02 17:01:00,2022-05-03 00:02:40
FP_0000096,5124160,1108,10008899,demand,2022-05-03 02:16:00,2022-05-03 03:56:00
FP_0000097,5124345,1324,10002266,demand,2022-05-09 03:30:00,2022-05-09 03:44:40
FP_0000097,5124345,1324,10002266,demand,2022-05-06 17:47:00,2022-05-06 20:30:00
