res_grp_cd,res_grp_nm,res_cd,res_nm,item_cd,item_nm,yymmdd,time_index_type,prod_qty
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-02,D,600.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-02,N,900.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-03,D,900.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-03,N,900.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-04,D,900.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-04,N,900.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-05,D,900.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-05,N,900.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-06,D,900.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-06,N,600.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-09,D,600.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-09,N,900.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-10,D,900.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-10,N,900.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-11,D,900.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-11,N,900.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-12,D,900.0
1108,영껌9매,10000062,영등포_껌_판껌^SET UP 포장기 #1,5128741,왓따 복숭아 23g,2022-05-12,N,100.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5128650,왓따 콜라 23g,2022-05-02,D,600.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5128650,왓따 콜라 23g,2022-05-02,N,900.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5128650,왓따 콜라 23g,2022-05-03,D,900.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5128650,왓따 콜라 23g,2022-05-03,N,800.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5128650,왓따 콜라 23g,2022-05-04,D,0.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5128650,왓따 콜라 23g,2022-05-04,N,820.62
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5128650,왓따 콜라 23g,2022-05-05,D,900.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5128650,왓따 콜라 23g,2022-05-05,N,900.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5128650,왓따 콜라 23g,2022-05-06,D,579.38
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5128650,왓따 콜라 23g,2022-05-06,N,0.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5128741,왓따 복숭아 23g,2022-05-06,D,320.62
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5128741,왓따 복숭아 23g,2022-05-06,N,600.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5128741,왓따 복숭아 23g,2022-05-09,D,220.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5128741,왓따 복숭아 23g,2022-05-09,N,179.38
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5141656,500 왓따 딸기 23g,2022-05-09,D,330.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5141656,500 왓따 딸기 23g,2022-05-09,N,0.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5141657,500 왓따 청포도샤인머스캣 23g,2022-05-03,D,0.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5141657,500 왓따 청포도샤인머스캣 23g,2022-05-03,N,100.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5141657,500 왓따 청포도샤인머스캣 23g,2022-05-04,D,520.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5141657,500 왓따 청포도샤인머스캣 23g,2022-05-04,N,0.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5141657,500 왓따 청포도샤인머스캣 23g,2022-05-09,D,50.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5141657,500 왓따 청포도샤인머스캣 23g,2022-05-09,N,0.0
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5143007,왓따 판박이 브레드이발소 13.7g,2022-05-04,D,124.08
1108,영껌9매,10000063,영등포_껌_판껌^SET UP 포장기 #2,5143007,왓따 판박이 브레드이발소 13.7g,2022-05-04,N,25.92
1207,영캔DEPO-1,10000654,영등포_캔디_D-1^BOX 제함기,5129898,스카치 세가지 157g (LS),2022-05-02,D,2025.0
1207,영캔DEPO-1,10000654,영등포_캔디_D-1^BOX 제함기,5129898,스카치 세가지 157g (LS),2022-05-02,N,2700.0
1207,영캔DEPO-1,10000654,영등포_캔디_D-1^BOX 제함기,5129898,스카치 세가지 157g (LS),2022-05-03,D,2700.0
1207,영캔DEPO-1,10000654,영등포_캔디_D-1^BOX 제함기,5129898,스카치 세가지 157g (LS),2022-05-03,N,1775.0
1207,영캔DEPO-1,10000654,영등포_캔디_D-1^BOX 제함기,5129898,스카치 세가지 157g (LS),2022-05-04,D,1900.0
1207,영캔DEPO-1,10000654,영등포_캔디_D-1^BOX 제함기,5129898,스카치 세가지 157g (LS),2022-05-04,N,0.0
1207,영캔DEPO-1,10000654,영등포_캔디_D-1^BOX 제함기,5129899,스카치 커피 157g (LS),2022-05-03,D,0.0
1207,영캔DEPO-1,10000654,영등포_캔디_D-1^BOX 제함기,5129899,스카치 커피 157g (LS),2022-05-03,N,925.0
1207,영캔DEPO-1,10000654,영등포_캔디_D-1^BOX 제함기,5129899,스카치 커피 157g (LS),2022-05-04,D,735.0
1207,영캔DEPO-1,10000654,영등포_캔디_D-1^BOX 제함기,5129899,스카치 커피 157g (LS),2022-05-04,N,0.0
1208,영캔DEPO-2,10000698,영등포_캔디_D-2^BOX 제함기,5126200,베트남 애니타임 밀크 60g,2022-05-02,D,2353.85
1208,영캔DEPO-2,10000698,영등포_캔디_D-2^BOX 제함기,5126200,베트남 애니타임 밀크 60g,2022-05-02,N,2746.15
1208,영캔DEPO-2,10000698,영등포_캔디_D-2^BOX 제함기,5130000,애니타임 밀크민트 92g (LS),2022-05-02,D,0.0
1208,영캔DEPO-2,10000698,영등포_캔디_D-2^BOX 제함기,5130000,애니타임 밀크민트 92g (LS),2022-05-02,N,576.92
1208,영캔DEPO-2,10000698,영등포_캔디_D-2^BOX 제함기,5130000,애니타임 밀크민트 92g (LS),2022-05-03,D,2223.08
1208,영캔DEPO-2,10000698,영등포_캔디_D-2^BOX 제함기,5130000,애니타임 밀크민트 92g (LS),2022-05-03,N,0.0
1324,영초CM,10002266,영등포_초코_CM^BOX SET UP M/C #1,5108820,가나 마일드 70g,2022-05-03,D,0.0
1324,영초CM,10002266,영등포_초코_CM^BOX SET UP M/C #1,5108820,가나 마일드 70g,2022-05-03,N,3701.11
1324,영초CM,10002266,영등포_초코_CM^BOX SET UP M/C #1,5108820,가나 마일드 70g,2022-05-04,D,668.89
1324,영초CM,10002266,영등포_초코_CM^BOX SET UP M/C #1,5108820,가나 마일드 70g,2022-05-04,N,0.0
1324,영초CM,10002266,영등포_초코_CM^BOX SET UP M/C #1,5108820,가나 마일드 70g,2022-05-10,D,1620.0
1324,영초CM,10002266,영등포_초코_CM^BOX SET UP M/C #1,5108820,가나 마일드 70g,2022-05-10,N,0.0
1324,영초CM,10002266,영등포_초코_CM^BOX SET UP M/C #1,5108821,가나 밀크 70g,2022-05-09,D,3302.2200000000003
1324,영초CM,10002266,영등포_초코_CM^BOX SET UP M/C #1,5108821,가나 밀크 70g,2022-05-09,N,3177.78
